cus_no;account;date
1;7001564;840715    
29;7000327;840828   
31;7000344;840516   
31;5025596;840516   
34;7003556;830810   
34;5000500;830810   
62;5023000;830812   
67;5000945;840515   
92;5001319;841217   
163;5002044;830921  
226;7001888;841013  
308;7002531;830909  
316;7002590;840620  
316;5344990;840620  
347;5004525;841223  
467;7003533;840812  
467;5006482;840812  
535;7003970;841024  
536;5007801;850212  
536;5022706;850212  
561;7059218;840725  
561;5151071;830908  
561;5173891;830908  
817;5009919;840801  
860;5010643;840920  
884;5011083;831013  
884;5113553;831013  
884;6064872;831013  
890;7005710;830816  
945;7009053;840905  
945;5012299;840905  
968;5012775;850405  
1021;5013823;840517 
1034;7005347;830814 
1142;7020339;831012 
1142;5016117;831012 
1197;7067769;850129 
1279;5115998;840824 
1436;5021782;850331 
1664;5025958;830923 
1703;7007128;830922 
1703;5026569;830922 
1709;5026670;850105 
1779;5027749;840728 
2083;5032701;830814 
2083;9069609;830814 
2362;5036970;830812 
2416;5037853;830817 
2598;5040421;840409 
2659;6026597;830814 
2891;5044586;840122 
2945;7009089;840326 
3053;5046736;840909 
3128;5047697;840428 
3154;7019581;830908 
3154;5051048;830909 
3335;7011523;830812 
3719;5056837;840502 
3719;5285150;840502 
3787;5057997;830930 
3787;6065896;830930 
3832;7058285;840811 
3852;7011238;840516 
3852;5340956;840516 
3865;5059277;831114 
3958;5060722;850213 
4109;5063244;850128 
4156;5064047;831210 
4161;5064140;850311 
4390;5067842;830916 
4423;5068401;830817 
4435;7029496;831101 
4435;5068596;830814 
4815;7013873;830811 
4815;5075045;830814 
4905;5076545;830924 
4941;5077087;830813 
5026;7022055;831106 
5026;5078468;831106 
5035;5078609;830929 
5362;7015448;830922 
5362;5084268;830922 
5421;5085345;831026 
5791;5091446;850320 
5916;5093593;830923 
6018;5095421;830920 
6158;5110033;850501 
6158;6070896;850414 
6172;7023552;830915 
6175;5131615;830922 
6308;5096539;831125 
6309;7042051;850211 
6309;5313461;850501 
6309;6075202;850501 
6314;5096646;831023 
6397;5098270;831111 
6466;5099578;830912 
6556;5101275;840621 
6564;7017889;830923 
6584;5101789;831113 
6678;5103568;830813 
6727;5104429;840718 
6796;6078716;830806 
6812;5106036;830817 
6988;5109413;830817 
7109;5111967;840220 
7184;5113492;830816 
7499;5119862;840115 
7545;5120818;841215 
7578;5121496;840606 
7580;5121543;830809 
7710;7020220;830810 
7747;5124786;831129 
7860;5126935;831030 
8150;5132878;840407 
8248;7021295;831107 
8263;5135138;840409 
8278;7027041;830929 
8278;5193105;830929 
8430;5138700;830814 
8440;5138886;830901 
8525;7021880;830921 
8525;5140598;830921 
8643;5142835;840824 
8647;5142915;840131 
8757;5145122;830830 
9029;5150486;840127 
9094;5151874;830806 
9120;5152443;840818 
9255;7023174;830909 
9255;5190414;830925 
9278;6096824;830809 
9509;7023720;830814 
9512;5160283;831009 
9593;7023926;830919 
9607;5162192;841011 
9669;5163392;850404 
9741;7024342;830826 
9741;5164878;830826 
9798;5166058;830827 
9850;7024459;831026 
9855;5167175;830827 
9922;6102159;830827 
9943;7024675;831108 
9976;5169456;831012 
9997;5169870;840508 
10161;5173301;830911
10216;5174437;830911
10495;5180094;840817
10550;5181195;831209
10581;5181794;831009
10707;5184271;841020
10707;5190809;841020
10764;5185388;830921
10767;7026206;830919
10791;6108942;831219
10863;5187319;840109
10949;7028089;841215
10949;5188997;841215
10951;6110327;830924
10972;7026594;830925
10985;5189694;850424
10992;5189848;840519
11053;5190922;831225
11053;5420041;840623
11059;5191038;830925
11086;5191519;840929
11090;5191582;831118
11145;5192681;840121
11166;5193083;840527
11183;5193391;840523
11223;5194124;830107
11223;5254484;840108
11275;6113293;831010
11353;5196753;831006
11397;5197699;831015
11420;5198172;831009
11457;5198911;841222
11552;6115473;831007
11644;5352312;840425
11680;5203192;831224
11685;5203287;841125
11695;5203502;831013
11767;5204954;831017
11809;7028370;831111
11809;5221858;831111
11932;7028971;850220
11932;5208033;850220
12073;5210585;831026
12110;5273045;841024
12156;7029210;831021
12184;5212317;831023
12236;5213173;831126
12313;5214357;831026
12365;5215167;831203
12557;5218259;840321
12681;6127661;831111
12780;7048411;840518
12780;5222014;840518
12804;7034007;840216
12804;5222433;840216
12886;7030835;831124
12886;5225984;831124
12908;5224209;831117
12911;6130326;831113
12931;5391295;840705
12973;5374218;840518
12999;6131492;831117
13039;6132100;831118
13083;5226928;831118
13124;6133382;831225
13126;6133427;840519
13128;6133468;831218
13130;6133524;831225
13131;6133547;840522
13134;5227562;831118
13135;5227570;840109
13138;6133682;840523
13139;6133698;840523
13141;6133740;831225
13154;5227828;831127
13173;5228133;831124
13208;5228604;831209
13220;5228787;831215
13250;5229181;831208
13254;5229235;831125
13405;7031883;831209
13405;5231251;831209
13449;6138668;840228
13537;6140080;831209
13562;5233422;831209
13597;5234070;840221
13669;5235397;840129
13669;6257241;840905
13704;5235983;841014
13716;5236164;831212
13836;7032694;831210
13984;7042558;840503
14054;7033118;831226
14090;5242306;840227
14156;5243422;840309
14217;5244358;831219
14325;5246434;840211
15014;5261441;840124
15054;5262262;840122
15128;5263801;840122
15170;7034843;840204
15186;5265037;840614
15210;5265566;840203
15258;5266515;840124
15400;5269367;840124
15463;5270595;840127
15591;5273143;840309
15618;5273639;840201
15693;5275102;840203
15812;5277596;840204
15935;5280038;840303
16008;5281399;840213
16068;5282646;840407
16090;7036457;840218
16146;5496242;840811
16257;5286189;840224
16536;6169068;840325
16625;5292872;840226
16683;5293806;840710
16716;6171236;840921
16806;7037782;840310
16832;5296360;840723
17112;5301234;840308
17153;5301995;840307
17155;5302042;840912
17281;5304423;840309
17296;5304710;850120
17391;5306541;840309
17397;5306664;840312
17509;7039064;840311
17509;5308858;840311
17762;5313366;840408
17920;6184247;840325
17928;5316498;840323
17972;5317295;840329
17995;5317687;840415
18163;5320789;840324
18246;5322226;840329
18279;6188107;840411
18501;5326784;840408
18669;5330200;841017
18717;5331176;840404
18831;7065556;841213
18849;7041949;840821
18864;5333885;840413
19051;6196223;841006
19209;5574239;841202
20058;5338285;840421
20140;5339837;850323
20169;5340447;840420
20228;5341524;840413
20267;5342279;841202
20321;5343371;840724
20455;5346184;840418
20461;5346330;840428
20610;7044093;840621
20610;5519480;840828
20612;5349327;840511
20629;7044206;840503
20654;5350116;841005
20660;5350224;840705
20690;5686491;850327
20748;5352013;840908
20876;7044977;840503
20880;5354483;850417
20882;5354525;840727
20958;5355689;840512
20989;5356316;840913
21006;5356661;840614
21066;5357842;840821
21161;6239633;850225
21273;5362393;850328
21274;5362415;840505
21332;5362786;850418
21520;5366820;840515
21534;5367126;840620
21684;5370404;840515
21689;5370521;840606
21700;5370734;840512
21782;5372409;840509
21944;7047526;841004
21944;5375853;840828
21953;5375995;841019
22109;5379360;840524
22109;5596035;850407
22285;5383055;840525
22286;7050781;840631
22286;5383088;840631
22328;5390418;840619
22404;5385478;840713
22476;5386905;840613
22507;5387530;841112
22548;5388464;850413
22572;5388911;840522
22579;5389039;840816
22587;5389211;840525
22762;5392661;840615
22816;5393755;840609
22854;5394531;840529
22879;5395052;840622
22911;5395747;840627
23084;5399400;840602
23470;5408049;840609
23597;5410880;840914
23891;5417358;840620
23925;5418156;840615
24231;5424448;850107
24562;5431102;850226
24624;5432364;841108
24860;5437228;840929
24920;5438498;841123
25045;5441166;841216
25161;7067862;841004
25246;5445881;850410
25314;7066185;850224
25314;5447417;850325
25336;5447915;840926
25448;5450494;840817
25448;5458797;840814
25801;5458201;840726
26089;5464585;850230
26097;5464762;840720
26113;5465150;840823
26307;7078605;850214
26307;5469357;850210
26445;5472342;840721
26639;5476691;840802
26660;7058790;840825
26809;5480423;840727
26960;7074729;841227
26960;5483583;841227
26998;5484349;840805
27381;6282657;840804
27476;7060697;850209
27476;6329134;850209
27478;5494925;840810
27514;5495764;840810
27517;7060811;841220
27554;5579909;850116
27583;5497268;840808
27711;6284709;841103
27801;7061336;850131
27860;5503387;850210
28199;5510558;850308
28308;5512708;841215
28311;5512775;840818
