cus_no;account;date
18;7000159;840630   
18;5000379;840630   
20;7000214;840318   
31;7000344;830518   
31;5025596;830820   
62;7002421;840627   
62;6000271;840627   
78;7000833;840614   
78;5013122;840614   
78;5050129;840614   
92;5001319;831015   
227;7001912;841221  
227;5009155;841221  
251;6001489;830925  
286;7002340;850131  
288;7002359;831008  
321;7002643;830819  
321;5004449;830819  
321;6064659;840919  
345;7002753;830604  
345;5074012;830604  
411;7003218;830929  
415;7005925;831024  
441;7003383;831219  
441;5006010;831219  
442;5006037;830517  
462;5006384;820320  
471;5006564;850121  
484;7003654;850224  
516;5007238;        
533;7003954;840631  
536;5007801;831030  
536;5022706;831030  
694;6006388;840312  
717;6007147;841110  
821;7004703;830420  
821;5029662;830420  
821;5035790;830420  
890;7005710;830715  
890;5011197;830715  
906;5011523;820320  
912;5280447;840310  
949;5012376;850108  
965;6237903;840713  
975;5012900;830806  
1003;5013460;850331 
1006;5013526;830922 
1029;5013987;830827 
1030;7024049;830914 
1034;7005347;830814 
1059;7007057;830614 
1059;7069105;841015 
1059;5014578;830614 
1073;7005419;840122 
1097;5015278;840108 
1097;9010479;840108 
1100;5066759;830809 
1100;6010937;830809 
1187;5017110;840804 
1187;5353280;840804 
1190;5017176;840203 
1198;5017333;830728 
1232;7019550;830617 
1276;5018844;801019 
1284;5019005;830718 
1321;5019727;831117 
1341;5020111;850203 
1383;7016332;840204 
1383;5020860;840204 
1418;5466140;840719 
1436;5021782;840720 
1436;9028918;840720 
1436;9268630;840720 
1436;9314792;840720 
1460;7006790;830531 
1460;5022233;830531 
1485;7048226;840524 
1522;5023426;840704 
1597;5024780;841019 
1597;5034144;841019 
1664;5025958;830712 
1707;7006820;830505 
1790;7006987;850418 
1833;5028592;840109 
1847;7007116;840225 
1847;5029960;840225 
1881;5094990;830812 
1944;7007312;841129 
1952;5030570;830914 
1952;9019398;830914 
2016;5031660;830814 
2019;5031721;830602 
2041;5032055;830628 
2041;9020196;830628 
2041;9023252;830628 
2041;9050337;830628 
2070;5032483;850321 
2109;5051157;830810 
2143;7008989;840505 
2198;5406565;840621 
2286;5035719;830902 
2320;5036229;830722 
2329;5036406;831104 
2397;5037554;830809 
2416;5037853;830529 
2519;5039344;840612 
2752;5042535;831013 
2769;5042768;830816 
2891;5044586;831019 
2891;9027908;831019 
2891;9133278;831019 
2908;5044823;840108 
2957;5119719;830911 
2957;6030528;830911 
3057;5046787;831012 
3057;9029252;831012 
3057;9081490;831012 
3057;9102114;831012 
3154;7019581;831007 
3155;5159722;850224 
3276;7009845;840921 
3352;7010068;830726 
3372;7029441;831028 
3372;5186350;831028 
3385;7010152;830625 
3497;5053627;830806 
3517;5052738;830921 
3536;5053062;830823 
3545;5053225;831120 
3577;5058331;831117 
3577;6039257;831117 
3577;9033703;831117 
3591;5054177;840601 
3621;5054817;830730 
3658;5055597;830718 
3782;5057918;830810 
3805;7014524;830911 
3805;5058266;830911 
3805;5084181;830911 
3805;5149200;830911 
3805;6065900;830911 
3832;7058285;840811 
3889;7011633;830506 
3891;7013015;840826 
3935;5060358;840901 
3958;5060722;850329 
3982;5061132;840331 
4034;5564803;841017 
4086;5062897;830817 
4088;7028176;831117 
4096;5063052;830729 
4109;5063244;840131 
4152;5063978;830908 
4152;5168654;830908 
4152;6066010;830908 
4223;5065165;830908 
4391;7012922;840129 
4391;5067860;940129 
4433;7028786;831021 
4433;5068568;830617 
4435;7029496;831101 
4435;5068596;831101 
4435;6066144;831101 
4508;5069772;830823 
4589;7069096;841022 
4589;5071151;840622 
4681;7013534;830420 
4684;7013638;830624 
4713;5073339;830511 
4761;7037832;830309 
4815;7013873;830420 
4815;5075045;830420 
4861;5075818;830712 
4905;5076545;841125 
4905;9046798;841125 
4907;5076571;830912 
4907;9083763;830914 
5021;6054246;830930 
5035;5078609;830929 
5115;5079931;850321 
5239;5082132;850426 
5309;7015189;830812 
5371;7015483;830713 
5371;5089532;830713 
5464;5086075;830912 
5512;5086928;840205 
5545;7015849;830425 
5568;5087834;830911 
5658;7016159;830727 
5672;7016198;830615 
5698;7016289;840331 
5727;5090437;830608 
5727;9054804;830608 
5743;5090678;840406 
5743;9211746;840406 
5817;5091840;840613 
5818;7017953;830527 
5841;7016749;831204 
5841;5232269;831204 
5858;6062854;830806 
5873;6063037;830804 
5879;5092850;840608 
5895;5364191;850115 
5926;7016984;830622 
6018;5095421;830715 
6018;9058119;830715 
6025;5095550;830511 
6025;5240346;840308 
6172;7023552;830908 
6172;6071358;830908 
6194;6072085;841113 
6270;5095795;840807 
6288;5096169;830920 
6368;5097725;840616 
6389;5119296;840919 
6397;5098270;830520 
6413;7017542;830705 
6421;5098714;830514 
6447;5099229;840802 
6464;7018268;830526 
6471;7017659;830521 
6556;5101275;840518 
6564;7017889;830923 
6571;5101544;841006 
6584;5101789;831111 
6659;5310264;840310 
6693;5103832;841008 
6710;5104117;830919 
6727;5104429;840614 
6804;5105892;830805 
6810;7018470;830922 
6812;5106036;830529 
6820;5106205;831210 
6820;9065272;831210 
6820;9068000;831210 
6820;9075940;831210 
6820;9092586;831210 
6823;5106272;830904 
6951;6079973;830819 
6977;5109205;830819 
7025;5141959;840710 
7076;5111217;830921 
7088;5111474;830922 
7091;5111533;830531 
7109;5111967;840220 
7184;5113492;841004 
7324;5116346;830901 
7340;5116668;840302 
7372;5117308;830922 
7372;9072488;831120 
7491;7045816;840519 
7491;5119692;840519 
7499;5119862;831104 
7499;9086043;831104 
7499;9099434;831104 
7499;9134711;831104 
7580;5121543;830809 
7658;5123087;840515 
7658;9184430;840515 
7690;7020180;830819 
7710;7020220;830622 
7710;5124083;830622 
7747;5124786;831006 
7781;5125483;830626 
7796;5125772;841019 
7796;9078086;841019 
7796;9304860;841019 
7804;5125906;840717 
7860;5126935;831030 
7860;9078495;831030 
7903;7020639;840215 
7903;5285658;840215 
7914;5128002;830817 
7932;5128367;840703 
7939;5128513;840131 
8002;5137299;830810 
8002;5211380;840114 
8022;5130314;830908 
8030;5130468;830807 
8035;5130575;830702 
8051;5130933;830722 
8052;5130949;841223 
8088;7066600;841123 
8088;5131674;841123 
8104;5132005;850417 
8104;5494434;850417 
8132;5132535;830722 
8150;5132878;840407 
8163;7021131;830726 
8163;5133130;830726 
8186;7021170;830708 
8204;5133940;830908 
8204;5172970;830908 
8204;9084035;830908 
8220;7021237;831024 
8222;5134312;830715 
8224;5134350;840616 
8248;7021295;840711 
8263;5135138;840328 
8329;5136552;850207 
8409;5138223;850426 
8424;7021568;831205 
8424;5144189;831205 
8440;5138886;830827 
8486;7021726;841215 
8525;7021880;830922 
8525;5140598;830922 
8533;7048499;841224 
8533;5140771;841224 
8558;5141291;840501 
8560;5141326;850331 
8563;5141397;831002 
8607;7021948;840912 
8628;5142553;830828 
8643;5142835;830723 
8644;5142854;831117 
8647;5142915;840524 
8647;6251492;840524 
8677;5143509;840727 
8728;5144528;850421 
8757;5145122;840118 
8770;7025939;840908 
8839;5146655;830729 
8848;5146841;840317 
8871;7022525;830728 
8890;5147652;830923 
8969;5149229;830911 
9053;5150989;830805 
9068;5369960;840510 
9070;5151390;840122 
9091;5151808;831218 
9183;5153749;841018 
9213;7060246;840807 
9213;5154394;840603 
9245;7023157;830807 
9255;7023174;830909 
9255;7039649;840317 
9255;5190414;830925 
9255;5314908;840317 
9278;6096824;830810 
9323;7077034;850205 
9343;5157025;841217 
9383;6097685;830811 
9420;5158522;830813 
9430;6098102;830812 
9443;7047253;841010 
9443;5158958;841010 
9447;7058496;840727 
9509;7023720;830930 
9512;5160283;831029 
9513;5545212;840926 
9521;5160480;840414 
9535;7023780;830818 
9535;5160734;830818 
9542;5245419;831227 
9572;7023874;830826 
9584;5161733;830818 
9607;5162192;841011 
9613;5162304;830818 
9620;6099604;830905 
9629;5175032;830907 
9650;7024054;830819 
9669;5163392;850307 
9671;6100079;830827 
9674;7024118;830819 
9686;5163755;840727 
9741;7024342;831006 
9741;5164878;831006 
9776;5165615;840812 
9779;7024315;830827 
9798;5166058;830825 
9831;7024420;831208 
9874;5167544;830827 
9881;7024662;830903 
9881;5167674;830903 
9922;6102159;830828 
9943;7024675;831108 
9987;5169659;830830 
9987;9107224;830830 
9999;6102807;840224 
10021;5170369;850107
10023;7024810;830911
10029;5170537;840328
10043;5170832;831113
10059;7024872;841104
10059;5179379;841104
10059;5180660;841104
10076;5171525;850429
10103;7024956;830907
10123;5172556;840115
10149;5173079;830904
10156;5173569;840927
10161;5173301;831107
10161;9139984;831107
10164;6103949;830921
10168;5173453;831109
10170;5173489;830903
10175;5173576;850307
10198;5174076;840707
10216;5174437;831107
10246;6104591;830910
10261;5175369;840225
10284;5375968;840723
10343;5177072;830911
10346;7025924;830916
10346;6105296;830916
10350;5237723;831208
10352;5177258;830907
10395;5178121;850126
10430;7025548;831001
10452;5179237;850126
10495;5180094;840817
10497;5180133;830915
10509;5180382;831002
10534;7026199;850421
10534;5693998;850421
10563;6107027;840310
10578;5181723;850414
10606;5182340;830922
10611;5182440;831105
10613;5182471;830921
10613;5239794;840605
10619;7055664;840725
10619;6107414;840725
10632;7025938;840705
10660;5183372;830917
10660;9117245;830917
10667;5183505;830923
10679;5183739;830921
10685;5183871;830916
10685;9116903;831111
10764;5185388;830921
10831;5186665;840509
10836;5186766;831130
10851;5187089;841019
10878;7026401;830922
10878;5187743;830922
10910;5188237;840125
10920;5188407;830923
10947;5262684;840123
10951;6110327;830923
10972;7026594;830924
10983;6110612;830923
10997;5189947;831002
11000;7053418;840810
11000;6110748;840810
11050;5190860;830929
11059;5191038;830925
11084;5191481;830928
11128;6147954;850427
11145;5192681;831002
11203;6112679;830930
11206;5193808;831002
11223;5194124;840108
11223;5254484;840108
11238;7027215;830930
11239;7027219;831002
11239;5194428;831002
11275;5195152;841109
11275;6113293;841109
11283;5195331;831006
11353;5196753;831006
11397;5197699;831015
11397;9126147;831015
11406;5197891;831010
11420;5198172;840114
11432;7041682;841011
11434;6114436;841126
11470;7027679;841109
11554;7029119;831119
11616;7031217;831222
11616;5202034;831222
11638;7036079;840212
11638;5202420;840212
11652;7028053;840130
11652;5254567;840130
11677;7085584;850425
11677;5203133;850425
11680;5203192;831013
11681;5203218;831010
11685;5203287;841125
11695;5203502;831013
11700;5725050;850427
11707;7041006;840823
11707;5203744;831012
11707;5253155;840823
11707;9130249;831012
11753;5204685;831013
11755;7028356;831015
11765;7047401;840511
11765;6117356;840511
11785;5205269;831014
11809;7028370;831112
11809;5221858;831112
11865;5206843;850119
11884;6118444;831019
11892;5207322;840717
11900;7061178;840919
11900;5207488;831019
11932;7028971;850220
11932;5208033;850220
11970;5208726;840311
11999;6119483;831020
12000;5209297;831017
12035;7029602;831029
12035;5209883;831029
12037;6119921;831020
12073;5210585;831026
12156;7029210;831021
12156;5212846;831023
12184;5212317;831023
12185;7045882;850425
12185;5212339;850425
12217;6122101;831027
12236;5213173;831127
12278;5213826;831112
12295;6123010;841210
12341;5214775;831026
12365;5215167;831203
12392;5662436;850322
12395;5215641;840224
12434;7067509;840929
12434;5216201;840131
12448;7048495;840522
12448;5216434;840821
12456;5216566;831029
12527;7030086;831111
12527;5217709;831111
12527;5218666;831111
12559;7046103;840504
12611;5219157;840524
12626;6127035;831106
12681;6127661;831111
12692;7030418;831114
12692;5220522;831114
12695;5220566;831113
12705;5220740;831114
12705;9142830;831114
12713;7030453;831113
12751;6128499;831114
12767;7030590;831112
12772;6128753;831114
12780;7048411;840605
12780;5222014;840605
12794;7030643;840310
12794;5303347;840310
12804;7034007;840226
12804;5222433;840226
12812;6129159;831111
12860;5223432;831111
12886;7030835;831118
12886;5225984;831118
12931;5391295;840526
12997;5225590;831115
12999;6131492;831117
13036;6132049;831124
13083;5226928;831118
13118;5227401;831208
13134;5227562;831118
13138;7055888;840923
13138;5532015;840923
13138;6133682;840923
13154;5227828;831206
13173;5228133;831124
13184;5228280;831120
13200;5228456;831121
13202;5228487;831205
13208;5228604;831209
13220;5228787;831215
13250;5229181;831124
13253;5229226;831124
13277;5229538;850324
13313;7034121;840122
13313;5230049;840122
13339;7032272;831129
13339;5230406;831129
13363;5230712;831124
13378;5230880;831204
13386;5230979;831128
13405;7031883;831208
13405;5231251;831208
13431;5231585;831128
13537;6140080;831209
13572;7032252;831209
13603;7032292;831215
13603;5649739;850217
13617;5234429;831212
13623;5234530;831210
13629;5235645;840710
13657;5235192;831209
13669;5235397;840129
13703;5235940;831208
13703;9152307;831208
13704;5235983;840121
13716;5236164;831212
13743;5236597;831208
13762;5236932;840215
13813;5255703;840427
13813;6143262;840427
13831;5238129;841102
13836;7032694;831210
13966;5240320;831216
13967;6145293;840414
14019;5241136;831213
14054;7033118;831226
14054;5241688;831226
14085;5242204;840121
14086;5242226;840328
14095;7034455;840118
14095;5242409;840114
14098;5242469;831213
14156;5243422;840309
14217;5244358;831218
14235;6148777;831222
14276;5245467;840217
14312;5246172;840321
14324;5246411;831222
14348;5246889;831222
14382;7033831;831222
14427;5248495;831223
14435;7033924;831227
14435;5248662;831227
14436;5248687;840110
14438;5248731;831223
14519;7040610;840329
14553;5251037;830109
14554;5251060;840212
14595;7034696;840710
14595;5251929;840710
14612;6152224;840301
14646;5253118;840116
14664;5253561;850324
14664;9458643;850324
14690;5254165;840109
14738;5255310;840110
14773;5256075;840406
14865;7054962;840630
14933;7081618;850403
15014;5261441;840121
15060;5262377;840116
15075;6155335;840504
15078;6155373;840117
15113;5263476;840121
15170;7034843;840204
15186;5265037;840619
15191;5265149;841012
15203;5265416;840123
15210;5265566;840406
15228;7034960;840224
15242;7034987;840125
15242;5266188;840125
15245;5266248;840130
15246;5266275;840122
15288;5267105;840129
15317;5699385;850329
15321;7035123;840125
15321;5267724;840125
15324;6157567;840127
15327;7035142;840127
15345;6157738;840125
15397;5269301;840127
15400;5269367;840125
15401;5269384;840704
15409;5269549;840127
15419;7035285;840127
15419;5269772;840127
15424;5269847;840621
15440;5270151;840231
15463;5270595;840127
15475;7035400;840125
15475;5270817;840125
15496;5271254;840421
15543;5272183;850302
15550;5272328;840210
15578;5272878;840130
15591;5273143;840302
15607;5273445;840207
15607;5372602;840512
15676;7035820;840203
15693;5275102;840406
15704;5275322;840307
15716;5275587;840208
15733;5275960;841102
15774;5276844;850503
15811;7036023;840211
15812;5277596;840204
15835;5278050;840211
15850;5278350;850205
15995;5310199;940317
16071;7068670;850320
16071;5282703;850320
16090;7036457;840505
16114;5283481;841206
16127;5283695;840217
16136;5283863;840217
16265;7037889;840227
16330;5287520;840231
16357;5288025;840214
16389;7037039;840224
16389;5288633;840224
16415;7039676;841105
16415;5289166;841105
16474;7037177;840218
16518;5307195;850220
16518;5621362;850220
16532;5291276;840406
16587;5292176;840222
16610;5292633;840224
16613;7037449;840225
16616;5292737;840322
16636;7037490;840226
16636;5298007;840511
16642;5293156;840302
16642;9191085;840302
16642;9191090;840302
16668;5293568;840717
16683;5293806;840601
16706;5294193;840304
16803;5295898;840226
16803;6172194;840226
16806;7037782;840226
16829;6172524;840631
16857;5296762;840228
16866;5296911;840228
16881;5297150;840301
16890;6173254;840312
16975;6174311;840229
16985;5298939;840304
16990;5299023;840231
16994;5299104;840619
17037;6175096;840622
17044;6175185;840411
17051;7061294;840825
17096;5300905;840830
17136;7048001;840908
17136;7059399;840908
17136;7059400;840908
17136;5301692;840908
17146;5301858;840308
17154;5302026;840304
17187;5302666;840303
17221;5303325;840303
17281;5304423;840308
17358;7038840;840318
17362;5306003;850225
17388;5306479;840308
17391;5306541;840308
17393;5306583;841209
17404;6178822;840307
17463;6179464;840621
17529;5309215;840310
17593;5603748;850202
